               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.042366,            0.036538,           0.0019304,             0.66022,             0.34098,             0.35714,             0.14016,            0.035883,            0.030531,           0.0012371,           0.0093309,           0.0093309,           0.0093309
                  48,            0.042491,            0.036136,           0.0018823,             0.55754,             0.34809,             0.36295,             0.14307,            0.035833,             0.03055,           0.0011609,           0.0093164,           0.0093164,           0.0093164
                  49,            0.042108,            0.036191,            0.001945,             0.58047,              0.3347,             0.35764,              0.1414,            0.035837,            0.030605,           0.0012073,           0.0093018,           0.0093018,           0.0093018
                  50,            0.042011,            0.035778,           0.0018544,             0.64537,             0.33963,             0.37487,             0.14813,            0.035789,            0.030412,           0.0011248,           0.0092873,           0.0092873,           0.0092873
                  51,            0.042179,            0.036695,           0.0018701,             0.63086,             0.35472,             0.37952,             0.14885,            0.035703,            0.030385,           0.0011101,           0.0092727,           0.0092727,           0.0092727
                  52,            0.042277,            0.036646,           0.0020317,             0.48535,             0.40986,             0.39241,             0.15077,            0.035646,            0.030406,           0.0011126,           0.0092582,           0.0092582,           0.0092582
                  53,            0.042218,            0.036605,           0.0017567,             0.47272,             0.41072,             0.39704,             0.15524,            0.035647,            0.030412,           0.0011046,           0.0092436,           0.0092436,           0.0092436
                  54,            0.041573,            0.035827,           0.0017836,             0.43517,             0.38882,              0.3915,             0.15582,            0.035612,            0.030349,           0.0010729,           0.0092291,           0.0092291,           0.0092291
                  55,            0.041997,            0.036294,            0.001891,              0.4113,              0.4024,             0.39428,              0.1545,            0.035595,            0.030391,           0.0010724,           0.0092145,           0.0092145,           0.0092145
                  56,            0.041965,            0.036382,           0.0016918,             0.44942,             0.42115,             0.40206,               0.156,            0.035582,            0.030408,           0.0010257,              0.0092,              0.0092,              0.0092
                  57,            0.041848,            0.036087,           0.0019247,             0.52837,             0.40499,             0.41022,             0.15705,            0.035521,            0.030378,           0.0010201,           0.0091855,           0.0091855,           0.0091855
                  58,            0.041644,            0.035956,           0.0015897,             0.50952,             0.41583,             0.41236,             0.15779,             0.03548,            0.030343,           0.0010347,           0.0091709,           0.0091709,           0.0091709
                  59,            0.041897,             0.03632,           0.0016362,             0.54938,             0.40411,             0.41404,             0.16146,            0.035433,            0.030315,            0.001023,           0.0091564,           0.0091564,           0.0091564
                  60,            0.041598,            0.036359,           0.0017317,             0.52692,             0.43105,             0.41979,             0.16416,            0.035364,            0.030267,           0.0010043,           0.0091418,           0.0091418,           0.0091418
                  61,            0.041702,            0.036406,           0.0018661,             0.48943,             0.44055,             0.42055,              0.1663,            0.035341,             0.03026,            0.001048,           0.0091273,           0.0091273,           0.0091273
                  62,            0.041613,            0.035673,           0.0016519,             0.49471,              0.4319,             0.41956,             0.16586,             0.03531,            0.030266,           0.0010275,           0.0091127,           0.0091127,           0.0091127
                  63,            0.041856,            0.036751,           0.0016254,             0.51634,             0.42078,             0.42078,             0.16533,            0.035347,            0.030226,           0.0010232,           0.0090982,           0.0090982,           0.0090982
                  64,            0.041629,            0.035841,           0.0015227,             0.48998,             0.43048,             0.41705,             0.16522,            0.035322,            0.030207,          0.00098757,           0.0090836,           0.0090836,           0.0090836
                  65,             0.04147,            0.035722,           0.0015981,             0.49739,             0.44227,             0.42465,              0.1644,            0.035291,            0.030197,          0.00096992,           0.0090691,           0.0090691,           0.0090691
                  66,            0.041506,            0.036003,            0.001747,             0.52366,             0.42249,             0.41887,             0.16571,            0.035241,            0.030139,          0.00095284,           0.0090545,           0.0090545,           0.0090545
                  67,            0.041287,            0.035989,           0.0016472,             0.51157,             0.41938,              0.4209,             0.16684,            0.035189,            0.030108,          0.00094312,             0.00904,             0.00904,             0.00904
                  68,            0.041554,             0.03582,           0.0016126,             0.47991,             0.44774,              0.4236,             0.16823,            0.035165,            0.030103,          0.00094032,           0.0090255,           0.0090255,           0.0090255
                  69,            0.041498,            0.035924,             0.00144,             0.46714,             0.44827,             0.42394,             0.16929,             0.03516,            0.030065,          0.00094796,           0.0090109,           0.0090109,           0.0090109
                  70,            0.041606,            0.035577,           0.0015393,             0.51406,             0.43838,             0.42998,             0.17184,            0.035139,            0.030078,          0.00093666,           0.0089964,           0.0089964,           0.0089964
                  71,            0.041557,            0.035642,           0.0015976,             0.47873,             0.47196,             0.43495,             0.17323,            0.035112,            0.030096,          0.00092342,           0.0089818,           0.0089818,           0.0089818
                  72,            0.041151,            0.035732,           0.0017209,             0.47513,             0.46491,             0.43373,             0.17268,            0.035084,            0.030144,          0.00094207,           0.0089673,           0.0089673,           0.0089673
                  73,            0.041596,            0.035715,            0.001646,             0.47484,             0.46945,             0.43465,             0.17293,            0.035069,            0.030109,          0.00092278,           0.0089527,           0.0089527,           0.0089527
                  74,            0.041358,             0.03528,           0.0014042,             0.48345,             0.46483,             0.43855,             0.17433,            0.035051,            0.030087,          0.00091068,           0.0089382,           0.0089382,           0.0089382
                  75,            0.041232,            0.035141,            0.001566,             0.51089,             0.46195,             0.43949,             0.17557,            0.035025,             0.03007,          0.00089842,           0.0089236,           0.0089236,           0.0089236
                  76,            0.041099,             0.03475,           0.0015074,             0.51156,             0.44623,             0.43927,             0.17623,            0.035001,            0.030063,          0.00090443,           0.0089091,           0.0089091,           0.0089091
                  77,            0.041128,            0.034918,           0.0015719,             0.50398,             0.46323,             0.44396,             0.17785,            0.034985,            0.030062,          0.00090344,           0.0088945,           0.0088945,           0.0088945
                  78,            0.040989,            0.034956,           0.0014125,             0.52147,             0.46093,             0.44787,             0.17923,            0.034965,            0.030061,          0.00089415,             0.00888,             0.00888,             0.00888
                  79,            0.041274,            0.035123,           0.0014466,             0.51129,             0.47182,             0.45569,             0.18135,            0.034951,             0.03003,          0.00088428,           0.0088655,           0.0088655,           0.0088655
                  80,            0.041167,             0.03597,           0.0015439,             0.52607,             0.46459,             0.45471,              0.1821,            0.034932,            0.030019,          0.00088013,           0.0088509,           0.0088509,           0.0088509
