               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.023159,           0.0041183,            0.021778,             0.49071,             0.50207,             0.48039,             0.24338,            0.021205,             0.00345,            0.020794,             0.00936,             0.00936,             0.00936
                  58,            0.022881,            0.004209,            0.020901,             0.46666,             0.50289,             0.47354,             0.23593,            0.021835,           0.0033016,            0.023858,           0.0093486,           0.0093486,           0.0093486
                  59,            0.022975,           0.0040923,            0.021014,             0.50521,             0.53001,             0.50698,             0.26366,            0.020562,           0.0033354,            0.020115,           0.0093371,           0.0093371,           0.0093371
                  60,            0.022858,           0.0042115,            0.020495,             0.50054,             0.52689,             0.50137,              0.2503,            0.021436,           0.0032798,            0.019929,           0.0093257,           0.0093257,           0.0093257
                  61,            0.022747,           0.0042127,            0.020396,             0.52908,             0.48217,             0.47343,             0.24691,            0.021151,           0.0032128,            0.020848,           0.0093143,           0.0093143,           0.0093143
                  62,            0.022626,            0.004189,            0.020386,              0.5028,             0.53858,             0.50424,             0.26908,            0.020635,           0.0032876,            0.019403,           0.0093029,           0.0093029,           0.0093029
                  63,            0.022454,             0.00413,             0.01951,             0.46256,             0.54018,             0.50077,              0.2617,             0.02073,           0.0036466,            0.018717,           0.0092914,           0.0092914,           0.0092914
                  64,            0.022408,           0.0042286,            0.020393,             0.40686,             0.47145,             0.40025,             0.19655,            0.022103,           0.0040715,            0.019592,             0.00928,             0.00928,             0.00928
                  65,            0.022559,           0.0041266,            0.019655,             0.53913,             0.55906,             0.56366,             0.30033,            0.019733,           0.0032289,            0.018121,           0.0092686,           0.0092686,           0.0092686
                  66,            0.022245,           0.0042666,            0.019706,             0.41602,             0.54099,             0.41559,             0.21498,            0.020386,           0.0041143,            0.017763,           0.0092571,           0.0092571,           0.0092571
                  67,            0.023196,           0.0040319,            0.020224,             0.43567,             0.52148,             0.46155,              0.2402,            0.020983,           0.0034547,            0.021468,           0.0092457,           0.0092457,           0.0092457
                  68,            0.023329,           0.0040999,            0.021643,               0.503,             0.53411,             0.50459,             0.26213,            0.020535,           0.0032527,            0.020246,           0.0092343,           0.0092343,           0.0092343
                  69,            0.022608,           0.0040714,            0.019809,              0.5376,             0.49474,              0.4906,             0.24895,            0.021484,           0.0036177,            0.019421,           0.0092229,           0.0092229,           0.0092229
                  70,            0.022929,           0.0041844,            0.019762,             0.53181,             0.52238,             0.50349,             0.25625,            0.020981,           0.0033018,             0.02106,           0.0092114,           0.0092114,           0.0092114
                  71,            0.022645,           0.0040106,            0.018995,             0.56581,             0.52782,             0.52045,             0.26234,            0.021333,           0.0031959,            0.017795,              0.0092,              0.0092,              0.0092
                  72,             0.02247,           0.0042798,            0.019589,             0.60763,             0.54395,             0.54644,             0.29178,            0.020386,           0.0035097,            0.018741,           0.0091886,           0.0091886,           0.0091886
                  73,            0.022272,           0.0040322,            0.018114,             0.44436,             0.48958,             0.45769,             0.22433,            0.022386,           0.0037361,            0.023878,           0.0091771,           0.0091771,           0.0091771
                  74,            0.022317,           0.0039822,            0.019436,              0.5044,             0.51643,             0.49131,             0.25347,            0.020762,           0.0032567,             0.02124,           0.0091657,           0.0091657,           0.0091657
                  75,            0.022144,           0.0040187,            0.017863,             0.53069,             0.58124,             0.55488,             0.28623,             0.01996,           0.0032678,            0.016923,           0.0091543,           0.0091543,           0.0091543
                  76,            0.022195,           0.0040371,            0.017654,             0.51424,             0.48976,             0.47999,             0.24455,            0.021108,           0.0037671,            0.020198,           0.0091429,           0.0091429,           0.0091429
                  77,            0.022349,           0.0040443,            0.018717,              0.5437,             0.58252,               0.561,             0.29196,            0.020541,           0.0032538,            0.017765,           0.0091314,           0.0091314,           0.0091314
                  78,            0.022449,           0.0040274,            0.019343,             0.54977,             0.55993,             0.53914,             0.28036,            0.021085,            0.003297,            0.017349,             0.00912,             0.00912,             0.00912
                  79,            0.022239,           0.0039325,            0.018963,              0.5808,              0.5592,             0.55585,             0.28771,            0.020538,           0.0031838,            0.018937,           0.0091086,           0.0091086,           0.0091086
